time,temperature_2m (・・C),relative_humidity_2m (%),dew_point_2m (・・C),apparent_temperature (・・C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (・・),wind_direction_100m (・・),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (・・C),soil_temperature_7_to_28cm (・・C),soil_temperature_28_to_100cm (・・C),soil_temperature_100_to_255cm (・・C),soil_moisture_0_to_7cm (m?/m?),soil_moisture_7_to_28cm (m?/m?),soil_moisture_28_to_100cm (m?/m?),soil_moisture_100_to_255cm (m?/m?),shortwave_radiation (W/m?),direct_radiation (W/m?),diffuse_radiation (W/m?),direct_normal_irradiance (W/m?),global_tilted_irradiance (W/m?),terrestrial_radiation (W/m?),is_day (),sunshine_duration (s),electricity_shutdown
2022-01-01 21:00:00,23.8,88.0,21.7,27.9,,1011.8,987.7,41.0,12.0,1.0,100.0,0.36,5.4,11.2,312.0,222.0,11.5,25.0,26.0,25.5,25.4,0.283,0.273,0.257,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-01-01 22:00:00,23.1,92.0,21.7,27.2,0.1,1011.9,987.7,52.0,18.0,12.0,96.0,0.23,4.8,8.3,297.0,288.0,12.6,24.5,25.9,25.5,25.4,0.282,0.273,0.257,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:00:00,22.6,93.0,21.4,26.6,0.1,1011.6,987.4,83.0,18.0,10.0,94.0,0.2,4.4,7.6,279.0,289.0,7.2,24.2,25.7,25.5,25.4,0.281,0.273,0.257,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-01-02 00:00:00,23.1,89.0,21.3,26.7,,1011.1,987.0,40.0,18.0,20.0,92.0,0.3,6.4,13.5,313.0,314.0,10.1,23.9,25.6,25.5,25.4,0.281,0.273,0.257,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:00:00,24.3,89.0,21.2,26.7,0.0,1010.5,986.4,72.0,33.0,33.0,75.0,0.39,6.1,14.1,298.0,308.0,13.0,23.7,25.4,25.5,25.4,0.28,0.273,0.256,0.322,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0
2022-01-02 02:00:00,23.0,89.0,21.1,26.5,0.0,1010.1,986.0,47.0,18.0,30.0,90.0,0.31,6.6,13.8,299.0,311.0,12.2,23.4,25.3,25.5,25.4,0.278,0.274,0.256,0.322,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,
2022-01-02 03:00:00,24.3,92.0,20.7,25.6,0.0,1009.9,985.7,52.0,1.0,19.0,100.0,0.22,5.2,12.7,304.0,315.0,11.5,23.1,25.1,25.5,25.4,0.277,0.274,0.256,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 04:00:00,24.3,90.0,20.4,25.3,0.0,1010.0,985.8,52.0,2.0,15.0,100.0,0.27,6.8,14.6,302.0,310.0,11.2,22.9,24.9,25.5,25.4,0.276,0.274,0.256,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 05:00:00,22.2,88.0,20.2,25.2,0.0,1010.2,986.0,37.0,1.0,10.0,100.0,0.39,6.6,15.0,311.0,316.0,13.0,22.7,24.8,25.5,25.4,0.275,0.274,0.256,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 06:00:00,22.6,87.0,20.4,25.5,0.0,1010.8,986.6,49.0,12.0,13.0,100.0,0.39,7.9,15.3,313.0,315.0,13.0,22.6,24.6,25.5,25.4,0.274,0.273,0.255,0.322,13.0,1.0,12.0,10.2,13.0,76.5,1.0,0.0,
2022-01-02 07:00:00,24.3,84.0,21.7,28.2,0.0,1011.2,987.2,31.0,0.0,2.0,100.0,0.48,7.1,11.8,300.0,310.0,13.0,23.8,24.5,25.5,25.4,0.271,0.272,0.255,0.322,146.0,68.0,78.0,283.1,146.0,339.8,1.0,3600.0,
2022-01-02 08:00:00,25.7,80.0,22.0,29.7,0.0,1011.6,987.7,32.0,2.0,1.0,100.0,0.67,6.3,8.1,283.0,222.0,12.6,25.0,24.5,25.5,25.4,0.27,0.272,0.255,0.322,353.0,186.0,167.0,400.7,353.0,656.7,1.0,3600.0,0.0
2022-01-02 09:00:00,26.4,78.0,22.2,30.1,0.0,1011.9,988.0,64.0,26.0,18.0,100.0,0.76,9.4,11.9,272.0,275.0,20.5,26.1,24.6,25.4,25.4,0.268,0.271,0.254,0.322,514.0,255.0,259.0,386.3,514.0,933.8,1.0,0.0,0.0
2022-01-02 10:00:00,27.0,76.0,22.4,31.1,0.4,1011.5,987.7,67.0,25.0,24.0,100.0,0.87,10.0,12.4,257.0,222.0,12.6,27.1,24.8,25.4,25.4,0.269,0.27,0.254,0.322,622.0,280.0,342.0,343.7,622.0,1152.5,1.0,3600.0,
2022-01-02 11:00:00,24.3,79.0,23.9,33.8,0.2,1010.9,987.1,50.0,18.0,18.0,100.0,0.77,9.6,12.0,236.0,222.0,25.2,28.2,25.1,25.4,25.4,0.267,0.27,0.253,0.322,782.0,494.0,288.0,538.5,782.0,77.2,1.0,3600.0,0.0
2022-01-02 12:00:00,26.9,87.0,23.4,32.6,,1010.4,986.6,67.0,19.0,33.0,100.0,0.68,11.4,14.7,246.0,248.0,27.4,28.9,25.4,25.4,25.4,0.265,0.268,0.253,0.321,827.0,600.0,227.0,624.3,827.0,1359.4,1.0,0.0,0.0
2022-01-02 13:00:00,24.3,81.0,24.0,32.9,0.0,1009.7,986.9,100.0,100.0,13.0,100.0,0.71,10.3,13.0,230.0,236.0,12.6,29.2,25.7,25.4,25.4,0.262,0.267,0.252,0.321,677.0,378.0,299.0,400.9,677.0,1333.7,1.0,3600.0,0.0
2022-01-02 14:00:00,24.3,81.0,23.1,31.0,0.1,1009.2,985.4,100.0,87.0,71.0,100.0,0.68,13.0,16.7,246.0,245.0,12.6,29.3,26.0,25.4,25.4,0.26,0.266,0.252,0.321,667.0,390.0,277.0,451.4,667.0,1222.1,1.0,3600.0,0.0
2022-01-02 15:00:00,24.3,82.0,23.4,31.1,0.0,1008.7,986.9,52.0,35.0,23.0,100.0,0.65,9.7,12.2,239.0,242.0,12.6,29.0,26.2,25.4,25.4,0.258,0.265,0.252,0.321,517.0,312.0,205.0,427.5,517.0,1032.3,1.0,3600.0,
2022-01-02 16:00:00,25.7,86.0,23.2,30.2,0.2,1008.8,984.9,100.0,18.0,10.0,100.0,0.46,7.8,10.0,257.0,255.0,26.6,28.4,26.4,25.5,25.4,0.259,0.265,0.251,0.321,349.0,167.0,182.0,303.9,349.0,777.2,1.0,3600.0,0.0
2022-01-02 17:00:00,24.3,89.0,23.1,29.4,0.0,1009.1,985.2,52.0,95.0,13.0,100.0,0.36,8.2,10.8,230.0,233.0,20.2,27.6,26.5,25.5,25.4,0.258,0.264,0.241,0.321,184.0,69.0,115.0,205.8,184.0,474.2,1.0,3600.0,0.0
2022-01-02 18:00:00,24.0,91.0,22.4,28.3,,1010.0,986.0,100.0,18.0,36.0,100.0,0.27,5.5,10.5,293.0,274.0,18.7,26.5,26.5,25.5,25.4,0.26,0.264,0.251,0.321,39.0,7.0,32.0,47.7,39.0,146.0,0.0,0.0,0.0
2022-01-02 19:00:00,23.8,92.0,22.4,28.2,0.1,1010.1,986.9,57.0,18.0,7.0,100.0,0.24,5.0,8.5,291.0,282.0,9.7,27.2,26.3,25.5,25.4,0.257,0.267,0.251,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 20:00:00,23.9,91.0,22.4,28.4,0.0,1011.1,987.0,100.0,100.0,9.0,100.0,0.26,5.4,7.1,297.0,294.0,7.6,26.1,26.3,25.5,25.4,0.257,0.267,0.25,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 21:00:00,24.0,90.0,22.2,28.3,0.1,1011.5,987.4,100.0,100.0,10.0,100.0,0.39,5.4,9.0,307.0,299.0,8.6,25.4,26.2,25.5,25.4,0.258,0.267,0.25,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 22:00:00,23.8,90.0,22.1,27.8,0.1,1011.7,987.6,52.0,100.0,4.0,100.0,0.3,7.1,11.4,311.0,294.0,11.9,25.0,26.1,25.5,25.4,0.258,0.266,0.25,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 23:00:00,24.3,90.0,22.0,27.3,0.1,1011.6,987.5,90.0,64.0,4.0,99.0,0.28,8.7,13.5,318.0,304.0,14.0,24.6,26.0,25.5,25.4,0.258,0.266,0.25,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 00:00:00,24.3,91.0,21.7,26.5,0.1,1011.0,986.9,100.0,89.0,7.0,100.0,0.25,10.6,16.3,325.0,319.0,17.3,24.3,25.9,25.5,25.4,0.259,0.266,0.249,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-01-03 01:00:00,23.2,87.0,21.7,26.1,0.0,1010.6,986.5,100.0,99.0,3.0,100.0,0.25,12.4,19.0,330.0,323.0,12.6,24.1,25.7,25.5,25.4,0.259,0.266,0.249,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 02:00:00,23.1,91.0,21.5,25.8,0.0,1010.0,985.9,82.0,53.0,7.0,100.0,0.26,13.2,21.5,331.0,222.0,12.6,23.9,25.6,25.5,25.4,0.258,0.266,0.249,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 03:00:00,24.3,90.0,21.5,26.0,0.0,1010.1,986.0,52.0,19.0,8.0,100.0,0.27,5.4,20.0,328.0,321.0,22.0,23.8,25.4,25.5,25.4,0.258,0.265,0.249,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 04:00:00,24.3,90.0,21.3,25.6,,1010.0,985.9,46.0,18.0,2.0,100.0,0.39,12.7,21.0,331.0,325.0,22.0,23.6,25.3,25.5,25.4,0.258,0.265,0.248,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 05:00:00,22.9,89.0,21.0,25.8,0.0,1010.4,986.3,52.0,17.0,10.0,100.0,0.3,5.4,17.4,325.0,322.0,21.2,23.5,25.1,25.5,25.4,0.258,0.265,0.248,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 06:00:00,22.9,89.0,21.0,25.9,0.0,1011.0,986.9,45.0,18.0,0.0,100.0,0.31,9.5,15.7,331.0,328.0,16.6,23.3,25.0,25.5,25.4,0.257,0.265,0.248,0.321,13.0,1.0,12.0,10.3,13.0,75.2,1.0,0.0,0.0
2022-01-03 07:00:00,24.3,86.0,21.7,27.4,0.0,1011.6,987.5,38.0,8.0,2.0,100.0,0.39,5.4,15.3,230.0,317.0,18.0,24.4,24.9,25.5,25.4,0.253,0.261,0.247,0.32,128.0,28.0,100.0,117.4,128.0,337.3,1.0,1722.54,0.0
2022-01-03 08:00:00,24.3,81.0,21.7,28.6,,1012.3,988.3,52.0,11.0,4.0,100.0,0.61,5.4,12.5,318.0,316.0,12.6,25.0,24.9,25.5,25.4,0.253,0.261,0.247,0.32,291.0,85.0,206.0,183.7,291.0,654.6,1.0,3600.0,0.0
2022-01-03 09:00:00,24.3,77.0,21.8,29.8,0.0,1012.6,988.7,42.0,13.0,0.0,100.0,0.77,7.6,9.8,278.0,278.0,19.8,25.9,25.0,25.5,25.4,0.251,0.26,0.247,0.32,420.0,123.0,297.0,186.6,420.0,932.3,1.0,3600.0,0.0
2022-01-03 10:00:00,24.3,74.0,21.8,30.4,,1011.8,987.9,38.0,9.0,0.0,100.0,0.92,8.4,10.6,250.0,252.0,20.2,26.8,25.1,25.5,25.4,0.249,0.259,0.246,0.32,545.0,171.0,374.0,210.1,545.0,1151.6,1.0,3600.0,
2022-01-03 14:00:00,28.4,64.0,21.0,32.6,,1009.3,985.6,52.0,18.0,7.0,100.0,1.38,13.0,16.7,236.0,237.0,12.6,29.6,26.1,25.5,25.4,0.237,0.254,0.244,0.32,849.0,618.0,231.0,714.4,849.0,1223.7,1.0,3600.0,0.0
2022-01-03 15:00:00,27.7,67.0,21.1,31.0,0.0,1009.0,986.9,54.0,21.0,10.0,100.0,0.39,12.8,16.7,232.0,222.0,28.1,29.5,26.4,25.5,25.4,0.234,0.253,0.244,0.32,678.0,471.0,207.0,644.2,678.0,1034.3,1.0,3600.0,0.0
2022-01-03 16:00:00,27.1,69.0,21.0,29.9,0.0,1009.0,985.2,43.0,12.0,4.0,100.0,1.11,10.9,14.5,236.0,222.0,12.6,29.0,26.6,25.5,25.4,0.233,0.252,0.243,0.32,488.0,349.0,139.0,633.4,488.0,779.5,1.0,3600.0,0.0
2022-01-03 17:00:00,26.4,75.0,21.6,30.2,0.0,1009.5,985.7,52.0,18.0,5.0,100.0,0.86,6.3,10.3,246.0,241.0,12.6,28.1,26.7,25.5,25.4,0.232,0.251,0.243,0.32,249.0,154.0,95.0,457.1,249.0,476.5,1.0,3600.0,0.0
2022-01-03 18:00:00,25.7,76.0,21.1,29.5,0.0,1010.2,986.3,52.0,12.0,6.0,100.0,0.79,4.4,6.6,261.0,248.0,11.5,26.9,26.7,25.5,25.4,0.232,0.251,0.243,0.32,54.0,24.0,30.0,162.6,54.0,147.2,0.0,1936.12,0.0
2022-01-03 19:00:00,23.6,85.0,21.0,27.3,0.0,1010.6,986.5,52.0,5.0,2.0,100.0,0.43,5.4,6.1,330.0,273.0,5.4,27.3,26.7,25.5,25.4,0.229,0.254,0.243,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 20:00:00,24.3,85.0,20.8,26.8,0.0,1011.2,987.1,52.0,18.0,0.0,100.0,0.43,5.4,8.7,335.0,318.0,8.3,26.0,26.6,25.5,25.4,0.229,0.254,0.243,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-01-03 21:00:00,24.3,87.0,20.2,26.5,,1011.4,987.3,52.0,11.0,0.0,98.0,0.53,6.8,11.4,342.0,332.0,12.6,25.1,26.5,25.5,25.4,0.23,0.253,0.241,0.32,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0
2022-01-03 22:00:00,23.3,80.0,19.6,25.9,0.0,1011.9,987.8,31.0,2.0,0.0,96.0,0.58,7.5,11.5,230.0,321.0,12.6,24.6,26.3,25.5,25.4,0.23,0.253,0.242,0.32,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,
2022-01-03 23:00:00,22.5,81.0,19.0,24.8,0.0,1012.0,987.8,35.0,6.0,0.0,100.0,0.52,7.5,12.3,343.0,322.0,13.3,24.1,26.2,25.5,25.4,0.23,0.253,0.242,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 00:00:00,22.3,81.0,18.9,24.4,,1011.7,987.5,52.0,15.0,10.0,100.0,0.51,5.4,13.3,339.0,322.0,12.6,23.8,26.0,25.5,25.4,0.231,0.252,0.242,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 01:00:00,21.9,83.0,18.9,23.9,0.0,1011.2,987.0,52.0,22.0,3.0,100.0,0.39,8.9,13.8,333.0,317.0,12.6,23.5,25.8,25.5,25.4,0.231,0.252,0.242,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 02:00:00,21.7,85.0,19.0,23.7,0.0,1010.9,986.7,46.0,18.0,3.0,100.0,0.4,9.2,13.0,334.0,318.0,12.6,23.3,25.6,25.5,25.4,0.231,0.252,0.241,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 03:00:00,21.4,87.0,19.1,24.0,0.0,1010.9,986.6,58.0,28.0,10.0,100.0,0.33,5.9,9.7,322.0,301.0,15.1,23.1,25.4,25.5,25.4,0.231,0.252,0.241,0.319,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0
2022-01-04 04:00:00,24.3,90.0,19.1,23.4,0.0,1011.1,986.8,44.0,11.0,10.0,100.0,0.25,5.4,6.8,312.0,295.0,9.7,22.8,25.2,25.5,25.4,0.232,0.251,0.241,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 05:00:00,21.2,87.0,19.0,23.6,0.0,1011.4,987.1,43.0,10.0,6.0,100.0,0.33,5.4,10.5,332.0,222.0,12.6,22.5,25.0,25.5,25.4,0.232,0.251,0.24,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04 06:00:00,24.3,85.0,19.5,24.2,0.0,1011.8,987.6,38.0,8.0,1.0,100.0,0.39,5.4,15.1,338.0,327.0,17.3,22.6,24.8,25.5,25.4,0.232,0.251,0.24,0.319,15.0,4.0,11.0,41.8,15.0,73.8,1.0,0.0,0.0
2022-01-04 07:00:00,24.6,82.0,21.2,28.1,0.0,1012.1,988.1,34.0,4.0,1.0,100.0,0.57,6.8,9.5,335.0,331.0,18.4,23.5,24.7,25.5,25.4,0.231,0.249,0.24,0.319,165.0,87.0,78.0,367.5,165.0,77.2,1.0,3600.0,
2022-01-04 08:00:00,24.3,74.0,21.4,30.2,,1012.9,989.0,33.0,3.0,0.0,100.0,0.88,5.4,6.2,297.0,306.0,12.6,24.9,24.7,25.5,25.4,0.23,0.249,0.24,0.319,368.0,202.0,166.0,437.9,368.0,652.6,1.0,3600.0,0.0
2022-01-04 09:00:00,24.3,71.0,21.5,31.4,,1012.9,989.0,43.0,18.0,1.0,100.0,1.03,4.5,5.2,241.0,245.0,14.8,26.5,24.8,25.5,25.4,0.228,0.248,0.24,0.319,575.0,347.0,228.0,527.3,575.0,930.8,1.0,0.0,
2022-01-04 10:00:00,24.3,69.0,21.5,32.5,0.0,1012.6,988.8,46.0,18.0,10.0,100.0,1.15,5.4,6.6,228.0,222.0,16.9,27.7,25.0,25.5,25.4,0.226,0.247,0.239,0.319,700.0,430.0,270.0,528.6,700.0,1150.7,1.0,3600.0,0.0
2022-01-04 11:00:00,24.3,67.0,21.5,33.9,0.0,1012.1,988.3,41.0,7.0,8.0,100.0,1.27,5.9,7.1,230.0,221.0,18.0,28.8,25.3,25.5,25.4,0.224,0.245,0.239,0.319,838.0,572.0,266.0,623.8,838.0,1297.2,1.0,3600.0,0.0
2022-01-04 12:00:00,28.5,66.0,21.7,34.0,0.0,1011.3,987.6,43.0,9.0,8.0,100.0,1.31,7.8,9.3,214.0,216.0,20.2,29.6,25.6,25.5,25.4,0.221,0.244,0.241,0.319,851.0,660.0,191.0,686.3,851.0,1360.4,1.0,3600.0,0.0
2022-01-04 13:00:00,28.8,65.0,21.6,34.2,0.0,1010.5,986.8,45.0,8.0,13.0,100.0,1.37,9.5,11.6,209.0,210.0,12.6,30.1,25.9,25.5,25.4,0.219,0.242,0.237,0.319,900.0,647.0,253.0,685.1,900.0,1335.9,1.0,3600.0,
2022-01-04 14:00:00,24.3,67.0,21.7,32.9,,1009.7,986.0,50.0,15.0,10.0,100.0,1.29,11.3,14.2,211.0,210.0,12.6,30.2,26.3,25.5,25.4,0.216,0.241,0.237,0.319,779.0,594.0,185.0,685.7,779.0,1225.3,1.0,3600.0,0.0
2022-01-04 15:00:00,27.7,70.0,21.8,31.1,0.1,1009.3,985.6,51.0,15.0,13.0,100.0,1.1,11.3,14.7,211.0,211.0,25.9,29.8,26.5,25.5,25.4,0.215,0.239,0.236,0.319,603.0,475.0,128.0,648.4,603.0,77.2,1.0,3600.0,0.0
2022-01-04 16:00:00,27.1,71.0,21.5,30.3,0.0,1009.1,985.3,52.0,12.0,10.0,100.0,1.02,10.6,14.0,230.0,198.0,24.8,29.2,26.7,25.5,25.4,0.214,0.239,0.236,0.319,441.0,299.0,142.0,541.1,441.0,781.7,1.0,3600.0,0.0
2022-01-04 17:00:00,24.3,77.0,21.9,30.0,0.0,1009.6,985.7,52.0,15.0,25.0,100.0,0.78,7.9,12.6,196.0,193.0,22.3,28.2,26.9,25.5,25.4,0.213,0.238,0.236,0.319,200.0,89.0,111.0,262.9,200.0,478.8,1.0,3600.0,0.0
2022-01-04 18:00:00,24.6,87.0,22.6,29.0,,1010.4,986.4,52.0,18.0,6.0,100.0,0.35,6.2,8.4,234.0,220.0,14.4,27.2,26.9,25.5,25.4,0.214,0.238,0.241,0.318,50.0,15.0,35.0,101.1,50.0,148.3,0.0,783.02,0.0
